start	end	text
00:00:00.320	00:00:02.560	여러분 혹시 하루 업무의 대부분을
00:00:02.560	00:00:05.080	브라우저에서 하고 계신가요? 메일을
00:00:05.080	00:00:08.360	확인하고 자료를 찾고 문서를 작성하고
00:00:08.360	00:00:10.080	여러 웹사이트를 오가면서 업무를
00:00:10.080	00:00:12.040	처리하다 보면 생각보다 정말 많은
00:00:12.040	00:00:14.599	시간을 브라우저에서 보내게 됩니다.
00:00:14.599	00:00:16.400	그런데 만약 브라우저가 단순히
00:00:16.400	00:00:18.160	웹사이트를 보여 주는 데서 끝나는게
00:00:18.160	00:00:20.359	아니라 우리가 하던 일을 직접 처리해
00:00:20.359	00:00:22.640	줄 수 있다면 어떨까요? 오늘은
00:00:22.640	00:00:25.000	브라우저 안에서 실제 업무를 AI에게
00:00:25.000	00:00:27.160	맡길 수 있도록 만들어진 어사이드
00:00:27.160	00:00:29.320	브라우저를 소개하고 실제로 어떻게
00:00:29.320	00:00:32.079	동작하는지까지 살펴보겠습니다.
00:00:32.079	00:00:33.719	그럼 바로 간단한 시험부터 보여
00:00:33.719	00:00:36.719	드릴게요. 쿠팡에서 20만 원대 무선
00:00:36.719	00:00:39.440	청소기 중 리뷰가 많은 제품 세 개를
00:00:39.440	00:00:43.320	찾아서 제품명, 현재 가격, 평점,
00:00:43.320	00:00:45.920	리뷰 수요 특징을 비교해서 구글
00:00:45.920	00:00:48.280	스프레드시트에 정리해 줘. 이렇게
00:00:48.280	00:00:50.800	요청해 보겠습니다.
00:00:50.800	00:00:53.239	그럼 어사이드가 직접 쿠팡에 들어가서
00:00:53.239	00:00:57.000	무선 청소기를 검색합니다.
00:00:57.000	00:00:59.640	지금 보시면 조건에 맞는 제품의 상세
00:00:59.640	00:01:02.920	페이지를 확인하고 있고요.
00:01:02.920	00:01:04.799	리뷰도 살펴보면서 필요한 정보를
00:01:04.799	00:01:07.360	수집하고 있네요.
00:01:07.360	00:01:09.880	조사가 끝나면 구글 시트로 이동해서
00:01:09.880	00:01:11.600	수집한 내용을 표로 정리하기
00:01:11.600	00:01:13.400	시작합니다.
00:01:13.400	00:01:15.040	줄 바꿈이나 정렬 같은 서식도
00:01:15.040	00:01:20.149	자동으로 맞춰 주고요.
00:01:20.159	00:01:22.720	조금 기다리면 작업이 완료되고 결과를
00:01:22.720	00:01:24.640	확인해 보면
00:01:24.640	00:01:26.439	이렇게 제가 요청한 항목들이
00:01:26.439	00:01:28.720	스프레드시트에 깔끔하게 정리된 걸 볼
00:01:28.720	00:01:30.439	수 있습니다.
00:01:30.439	00:01:32.960	사실 여기까지만 보면 요즘 AI도
00:01:32.960	00:01:34.960	검색해서 이런 거 해 주지 않나라고
00:01:34.960	00:01:37.320	생각하실 수도 있는데요. 맞습니다.
00:01:37.320	00:01:39.960	요즘은 일반적인 AI 서비스에서도 외
00:01:39.960	00:01:41.680	검색이나 여러 도구를 활용할 수
00:01:41.680	00:01:44.159	있죠. 다만 AI 브라우저는 조금
00:01:44.159	00:01:46.560	접근 방식이 다릅니다. 일반적인
00:01:46.560	00:01:48.320	AI가 주로 질문에 답을 해 주는
00:01:48.320	00:01:50.799	역할을 한다면 AI 브라우저는
00:01:50.799	00:01:52.640	브라우저 안에서 직접 웹사이트를
00:01:52.640	00:01:55.000	탐색하고 필요한 작업까지이어서 수행할
00:01:55.000	00:01:57.079	수 있습니다. 쉽게 말해 우리가
00:01:57.079	00:01:59.960	브라우저에서 직접 하던 검색, 클릭,
00:01:59.960	00:02:01.960	페이지 이동, 입력 같은 작업을
00:02:01.960	00:02:04.479	AI에게 맡길 수 있는 거죠. 그런데
00:02:04.479	00:02:06.320	여기서 한 가지 짚고 넘어갈 부분이
00:02:06.320	00:02:08.720	있습니다. 사실 브라우저 안에서
00:02:08.720	00:02:11.440	AI가 직접 클릭하고 검색하고
00:02:11.440	00:02:13.160	웹사이트를 돌아다니면서 작업을
00:02:13.160	00:02:15.440	처리하는 기능 자체는 어사이드만 할
00:02:15.440	00:02:17.560	수 있는 건 아닙니다. 이미 이런
00:02:17.560	00:02:19.760	기능을 제공하는 AI 브라우저들은
00:02:19.760	00:02:21.760	계속해서 등장하고 있었는데요.
00:02:21.760	00:02:24.040	그렇다면 어사이드는 그중에서도 어떤
00:02:24.040	00:02:26.040	부분을 특히 강조하고 있을까요?
00:02:26.040	00:02:28.000	어사이드가 특히 강조하고 있는 건
00:02:28.000	00:02:30.200	단순히 웹사이트를 조작할 수 있다는
00:02:30.200	00:02:32.480	것보다는 브라우저에서 실제로 하는
00:02:32.480	00:02:34.360	업무를 AI에게 맡길 수 있다는
00:02:34.360	00:02:36.920	점입니다. 어사이드에서는 이걸 리얼
00:02:36.920	00:02:39.519	워크라는 표현으로 강조하고 있는데요.
00:02:39.519	00:02:41.400	사용자가 로그인해 놓은 이메일이나
